identificador_cliente,ingresos_mensuales_cop,score_credito
1113,5625703.48,770
1114,6346233.02,719
1115,3353481.78,412
1116,5841547.03,721
1117,4580676.76,584
1118,4770524.85,353
1119,6755991.23,624
1120,3329812.16,757
1121,3589885.2,564
1122,7957420.9,681
1123,1704814.92,512
1124,4796566.95,632
1125,7872165.76,309
1126,5694613.66,657
1127,5234130.93,502
1128,3098158.09,357
1129,3771583.52,793
1130,7434748.59,809
1131,5326370.55,522
1132,5006143.8,668
1133,2016973.94,717
1134,1415402.73,846
1135,8238533.36,402
1136,4014300.4,460
1137,5643134.05,499
1138,1873948.53,459
1139,6218422.86,435
1140,8014480.3,697
1141,5444789.82,691
1142,2208030.32,405
1143,5488395.0,353
1144,6817699.93,576
1145,4226199.06,410
1146,7634831.79,523
1147,5970517.26,374
1148,7774592.21,805
1149,5789238.24,313
1150,2245273.4,781
1151,3529780.32,488
1152,2752923.63,663
1153,7843550.78,538
1154,6774880.48,700
1155,6170068.26,603
1156,3466957.5,390
1157,2625122.36,691
1158,6746447.83,483
1159,4713937.21,316
1160,2925684.78,311
1161,5739678.24,465
1162,1590403.74,445
1163,3648425.83,581
1164,4673610.36,848
1165,2365300.01,468
1166,8389512.24,469
1167,2805501.03,645
1168,2238542.54,798
1169,2765451.09,759
1170,6837240.16,596
1171,4363640.75,441
1172,5370994.77,352
1173,1451265.93,417
1174,1547905.42,664
1175,4509943.96,435
1176,7179917.75,713
1177,7673719.93,376
1178,1924287.29,317
1179,5176214.34,702
1180,7875253.74,504
1181,4093403.83,798
1182,7272873.99,623
1183,2262608.71,580
1184,8034840.33,465
1185,6710247.89,542
1186,8077607.63,778
1187,6171644.08,463
1188,3916508.31,623
1189,8054904.44,507
1190,3284080.79,614
1191,3691642.16,603
1192,6345820.61,538
1193,6810277.36,523
1194,7991705.08,387
1195,2774577.35,836
1196,7045585.85,728
1197,6617531.58,519
1198,1759320.81,574
1199,4088006.62,365
1200,3335911.29,722
1201,3492331.06,554
1202,8377217.53,424
1203,5927997.38,445
1204,6467268.34,684
1205,8331646.99,746
1206,4015852.83,686
1207,7073249.21,682
1208,4428622.94,576
1209,7560642.44,681
1210,2600734.3,423
1211,8123340.47,566
1212,2875156.3,410
1213,3648787.65,680
1214,6744584.09,457
1215,4135037.02,847
1216,5679121.91,417
1217,4500929.21,627
1218,6645063.55,367
1219,2943985.02,733
1220,1720897.51,658
1221,3459491.66,742
1222,4715022.39,463
1223,2509744.38,660
1224,3854540.49,418
1225,4179877.73,494
1226,1713221.27,540
1227,5499812.19,808
1228,7667272.68,441
1229,2392548.97,330
1230,5604217.7,522
1231,6086122.28,565
1232,4319209.7,581
1233,6347902.63,680
1234,4257267.11,361
1235,4933388.47,820
1236,1352941.92,370
1237,6280384.82,835
1238,6061667.29,439
1239,1576486.32,615
1240,3951400.77,639
1241,8349029.25,827
1242,4329303.25,840
1243,4914006.92,715
1244,7851497.14,766
1245,6464285.51,674
1246,5490904.94,590
1247,7044193.71,342
1248,7523437.12,352
1249,4589594.12,531
1250,4720780.23,511
1251,4079566.74,307
1252,8260284.21,782
1253,6319597.03,341
1254,1899206.08,632
1255,7513309.29,532
1256,4760031.57,369
1257,1795028.13,315
1258,5257964.24,368
1259,4303582.81,352
1260,7619795.72,678
1261,2768761.15,762
1262,7250545.19,826
1263,5315358.58,362
1264,1693194.18,560
1265,8297286.17,799
1266,4990829.76,420
1267,3394313.35,539
1268,4679729.26,764
1269,7476576.04,406
1270,3495302.5,479
1271,2687270.05,315
1272,2229312.98,654
1273,3444587.67,608
1274,6916346.23,480
1275,4695709.83,473
1276,2937867.55,653
1277,2496532.0,653
1278,3695652.23,518
1279,8067455.48,614
1280,3769792.33,733
1281,8414493.35,581
1282,4793659.28,558
1283,2589980.21,304
1284,7716208.66,693
1285,4614558.69,635
1286,6409633.67,362
1287,8382723.4,343
1288,1661262.52,452
1289,1996200.83,455
1290,6487288.54,777
1291,3329140.02,574
1292,2626970.06,657
1293,1583405.53,725
1294,1457296.33,831
1295,6876296.34,782
1296,2267920.68,513
1297,4667588.43,378
1298,5662457.07,438
1299,4384132.96,397
1300,1495167.9,497
1301,6941210.82,455
1302,1375695.22,349
1303,6785607.24,778
1304,7731792.36,527
1305,4416447.43,756
1306,5155905.81,821
1307,4734280.43,448
1308,4102302.05,357
1309,7689456.65,461
1310,7736321.28,776
1311,3717877.83,406
1312,5728502.23,726
1313,7973734.45,694
1314,8226821.19,485
1315,4964505.09,745
1316,4560338.6,747
1317,3306599.07,386
1318,8203877.49,548
1319,2328262.99,739
1320,5474772.95,556
1321,3334361.93,576
1322,3308859.69,737
1323,4215773.83,815
1324,8491309.14,501
1325,1695757.41,479
1326,5465501.09,624
1327,1894519.54,774
1328,2412549.98,699
1329,4464853.18,516
1330,4975312.95,752
1331,3163305.34,703
1332,3578491.34,539
1333,1926162.55,485
1334,3483182.44,347
1335,8259220.76,685
1336,8101893.15,507
1337,3711123.69,456
1338,5410148.34,524
1339,7849086.82,443
1340,1344523.52,718
1341,7136921.71,410
1342,8128260.78,764
1343,1957545.29,431
1344,2462423.34,633
1345,8217373.38,374
1346,5170289.03,711
1347,1402215.77,818
1348,3154950.39,335
1349,4539594.45,522
1350,6288944.16,829
1351,6578754.72,540
1352,8467034.89,433
1353,3370080.64,690
1354,5175184.73,401
1355,5139929.54,797
1356,4220645.87,810
1357,2517965.64,836
1358,8337687.25,844
1359,7443883.74,642
1360,4887997.8,305
1361,5643367.04,493
1362,2936279.59,436
1363,5215266.91,772
1364,6303784.96,515
1365,5009202.6,648
1366,8430053.23,482
1367,5701659.92,467
1368,3971010.73,337
1369,6859494.6,770
1370,2527330.08,751
1371,4068513.86,789
1372,3798104.44,441
1373,4409011.08,402
1374,6928814.75,341
1375,4786045.83,446
1376,7016904.04,365
1377,5450720.1,492
1378,3762899.93,597
1379,7131846.95,337
1380,3015685.63,801
1381,2915557.45,727
1382,4932421.05,651
1383,3178114.57,625
1384,1365426.65,337
1385,5967742.2,396
1386,4979875.51,407
1387,4507728.26,450
1388,8262173.31,373
1389,5412634.12,356
1390,7516707.36,634
1391,2304041.7,551
1392,5398286.53,553
1393,7549453.31,684
1394,5498361.45,755
1395,6469702.08,558
1396,3978713.69,764
1397,1965636.52,333
1398,4596882.12,794
1399,4140251.61,625
1400,7542833.31,537
1401,3056766.18,840
1402,8260486.44,765
1403,8198594.46,603
1404,3082947.83,416
1405,3805974.08,506
1406,7748001.33,780
1407,8259679.99,702
1408,4492761.54,532
1409,3611178.73,583
1410,5087876.9,779
1411,6251938.29,308
1412,3269016.51,678
1413,6602606.86,680
1414,1671932.97,659
1415,1654920.35,475
1416,4081271.48,784
1417,3845006.98,704
1418,3572559.15,332
1419,4835342.29,764
1420,3609281.79,456
1421,2684257.01,501
1422,3528180.75,474
1423,8319310.76,543
1424,4260016.6,568
1425,4501931.99,745
1426,5451123.93,373
1427,8380053.53,395
1428,3039529.19,472
1429,6205231.2,705
1430,6455089.79,454
1431,5672735.8,482
1432,1937764.05,622
1433,6173480.39,588
1434,1761481.92,557
1435,5592227.08,473
1436,6624984.48,629
1437,2818983.21,530
1438,7359678.45,460
1439,1518547.4,485
1440,7375452.62,442
1441,4614369.16,581
1442,2866633.17,326
1443,2263202.64,545
1444,8163811.61,786
1445,1823192.23,501
1446,2733472.62,320
1447,3804320.9,393
1448,5765690.91,307
1449,5222567.81,771
1450,2204633.15,638
1451,3386041.48,558
1452,3019012.75,354
1453,2837508.55,847
1454,4260239.22,305
1455,6369026.46,676
1456,2865661.11,349
1457,3940087.93,411
1458,4114605.47,445
1459,8330487.01,529
1460,8173597.77,796
1461,7060990.6,605
1462,3039944.23,841
1463,1789868.66,760
1464,3581709.79,525
1465,3220920.76,358
1466,4942665.76,375
1467,6899640.95,727
1468,7479925.16,431
1469,7383021.41,797
1470,3889664.04,604
1471,6248087.27,366
1472,3552406.22,529
1473,1738519.91,632
1474,6351269.91,576
1475,1370758.38,443
1476,4246114.63,550
1477,3671530.74,379
1478,6292318.28,356
1479,6816967.4,665
1480,3489481.38,607
1481,7143714.5,473
1482,3416200.68,761
1483,4513549.79,792
1484,6534533.39,673
1485,6289025.65,648
1486,8409053.0,366
1487,2921159.37,629
1488,6068688.98,493
1489,5689709.74,454
1490,7888708.87,459
1491,2425807.42,565
1492,6712946.78,467
1493,5391534.04,444
1494,3277594.26,485
1495,4715931.38,722
1496,3703191.5,756
1497,5471056.5,644
1498,7700804.4,815
1499,5398995.89,403
1500,5848401.41,546
1501,5034984.5,322
1502,1668391.65,824
1503,2976581.61,443
1504,4842412.45,492
1505,3533694.04,764
1506,2608697.9,674
1507,4929756.46,565
1508,3624230.51,677
1509,3158375.03,849
1510,4640695.01,373
1511,2259646.66,737
1512,7979769.28,525
1513,7547455.11,607
1514,6394868.22,647
1515,2064739.56,775
1516,6886316.23,614
1517,7117292.76,824
1518,6827905.25,724
1519,2120554.39,823
1520,5936137.29,548
1521,7307138.53,481
1522,5456944.49,405
1523,5954133.1,490
1524,4600217.05,436
1525,5106692.7,419
1526,1547513.38,371
1527,5900533.76,430
1528,1886419.93,756
1529,4432105.08,778
1530,3407116.7,351
1531,5227081.24,418
1532,2260597.62,563
1533,6279832.49,538
1534,7024083.07,650
1535,2476152.04,554
1536,2051054.23,608
1537,2347711.48,794
1538,7615318.45,356
1539,5102962.68,702
1540,4664279.17,366
1541,2068325.1,345
1542,5976803.25,668
1543,7549597.06,531
1544,7262938.26,701
1545,5807593.9,322
1546,1842006.76,566
1547,2109258.6,417
1548,1655024.71,354
1549,3153850.36,452
1550,2276762.56,538
1551,3172345.89,564
1552,4072418.0,567
1553,8089476.05,412
1554,5694707.63,465
1555,7311811.26,307
1556,6414530.81,516
1557,2110022.54,730
1558,6598626.93,591
1559,3280711.95,349
1560,5901576.5,406
1561,3754926.21,308
1562,8483240.3,755
1563,3197570.65,622
1564,3309739.39,608
1565,8000840.24,444
1566,1477439.71,711
1567,6316160.71,413
1568,6522350.01,698
1569,7321925.76,574
1570,8315963.04,423
1571,8324333.82,385
1572,1769992.65,346
1573,7217243.12,500
1574,5953431.52,575
1575,5960863.37,848
1576,2224119.47,429
1577,5981347.6,747
1578,8373874.58,688
1579,7865093.7,562
1580,4461740.76,577
1581,1587625.41,345
1582,3908513.13,467
1583,7250010.24,744
1584,6350793.53,345
1585,4607274.32,839
1586,1696731.05,386
1587,4373642.04,684
1588,4676979.57,564
1589,7985599.84,321
1590,5915819.95,749
1591,3543901.0,531
1592,5082291.5,485
1593,1775598.22,625
1594,8302491.3,482
1595,3892431.29,696
1596,4740644.96,780
1597,3858044.61,702
1598,6214084.46,762
1599,6068071.54,716
1600,6450320.64,501
1601,3230631.25,364
1602,3572813.06,316
1603,2201808.86,482
1604,6019671.8,690
1605,1586539.32,343
1606,5603312.82,781
1607,7561810.37,562
1608,7713991.47,473
1609,4533071.87,740
1610,4606986.56,519
1611,1854178.12,693
1612,6129508.18,494
1613,7213067.83,708
1614,3061516.39,770
1615,4333366.35,646
1616,7339643.22,761
1617,7615267.37,360
1618,3050895.86,465
1619,5264108.57,450
1620,2685950.68,410
1621,2033527.1,787
1622,7860067.61,848
1623,7207654.03,302
1624,6772251.29,782
1625,1651117.5,312
1626,7374847.31,461
1627,4453917.35,643
1628,3765244.89,748
1629,5234629.8,631
1630,1957743.35,563
1631,6747855.16,382
1632,5493532.55,633
1633,2643448.7,679
1634,2655271.84,518
1635,2626590.29,753
1636,1710417.19,388
1637,5532148.84,632
1638,7350506.88,609
1639,1425987.14,719
1640,1652833.44,653
1641,5423945.99,399
1642,7200368.93,444
1643,3652520.01,309
1644,3817223.67,343
1645,5593694.78,685
1646,3274332.8,794
1647,1491580.24,792
1648,6593645.33,468
1649,5804679.37,830
1650,5481443.19,635
1651,6640125.73,812
1652,6161662.03,429
1653,2782350.31,838
1654,3837863.54,813
1655,2207993.02,549
1656,2234970.5,437
1657,6168609.37,574
1658,7481920.77,763
1659,8231674.6,440
1660,5824099.25,555
1661,2625529.53,755
1662,2060682.49,733
1663,7152527.0,472
1664,5467046.63,772
1665,5751652.15,722
1666,6926527.04,738
1667,6363596.04,356
1668,7308099.42,797
1669,1704740.12,468
1670,6682148.58,727
1671,7426139.85,718
1672,3360172.31,646
1673,5911220.37,816
1674,3561966.86,754
1675,8197391.68,501
1676,1540649.72,478
1677,5474508.48,356
1678,2498825.54,800
1679,6427985.48,411
1680,2566410.04,447
1681,2994759.49,677
1682,4859469.84,647
1683,7886811.64,657
1684,2824343.48,355
1685,2338528.15,615
1686,6764633.19,484
1687,4904460.63,353
1688,7864852.81,336
1689,2355624.81,569
1690,5950680.83,807
1691,2976729.85,527
1692,2428675.09,727
1693,6220691.79,300
1694,5574529.26,322
1695,6734757.7,802
1696,3528130.55,747
1697,4525395.93,795
1698,4219396.07,724
1699,8385444.14,317
1700,3404192.49,744
1701,3422684.12,338
1702,3852747.1,509
1703,5365077.39,510
1704,3116723.76,580
1705,7890087.57,432
1706,3212936.07,748
1707,7749873.27,563
1708,2045020.46,410
1709,6027251.46,537
1710,7830295.73,756
1711,2514995.96,815
1712,8271954.11,472
1713,4560760.19,492
1714,8109148.78,814
1715,6173104.31,708
1716,3471425.46,383
1717,2655778.18,379
1718,3486892.33,508
1719,1969725.35,821
1720,2335849.36,498
1721,2053555.17,533
1722,4345193.51,543
1723,7028164.31,692
1724,2317961.59,745
1725,2238307.12,692
1726,5932688.44,308
1727,2719717.47,452
1728,2002792.27,409
1729,2501309.76,565
1730,7950866.05,672
1731,7214593.02,451
1732,3849264.85,714
1733,6021909.52,625
1734,5168384.85,475
1735,6175294.7,824
1736,6215232.3,614
1737,5826884.91,366
1738,3215929.85,483
1739,1580846.23,334
1740,4580080.83,804
1741,7715011.97,375
1742,5400380.26,771
1743,7293215.5,822
1744,8439695.27,582
1745,2478036.67,835
1746,6280799.0,573
1747,6154913.73,838
1748,8355679.22,353
1749,8396325.28,354
1750,6244086.0,576
1751,3054026.5,742
1752,7049602.03,717
1753,2070609.77,524
1754,6921034.99,554
1755,7853412.09,475
1756,4056400.44,445
1757,5840574.12,684
1758,4397027.67,561
1759,4451908.4,830
1760,3534670.4,670
1761,6787333.27,496
1762,8040471.26,583
1763,8073406.19,601
1764,2558425.25,431
1765,7598154.28,419
1766,6609506.38,435
1767,3120429.28,828
1768,1784449.21,333
1769,3229580.32,831
1770,7867899.3,507
1771,5858886.46,598
1772,6491593.56,821
1773,3151496.93,393
1774,6479594.72,713
1775,1502474.85,670
1776,4002313.69,708
1777,5812624.11,682
1778,2351895.27,740
1779,7225625.74,746
1780,2992225.35,370
1781,5996424.01,383
1782,4217419.43,508
1783,5591513.89,558
1784,2073643.98,538
1785,1421772.16,601
1786,7848863.88,531
1787,3241336.06,581
1788,7201674.42,693
1789,8495322.16,717
1790,2822305.06,505
1791,3209229.34,563
1792,6072590.47,610
1793,8251230.17,378
1794,7893863.31,641
1795,4920703.74,394
1796,7024794.03,650
1797,2277370.14,361
1798,8337554.93,441
1799,8243343.29,410
1800,2478848.5,826
1801,3455846.5,456
1802,2021115.98,838
1803,3256366.71,308
1804,7174881.68,575
1805,4023872.37,526
1806,1936458.16,485
1807,3764023.78,515
1808,8365960.01,732
1809,5833721.89,655
1810,4296358.81,691
1811,2499077.3,574
1812,8400472.94,793
1813,7210112.87,750
1814,3326636.58,719
1815,1804494.61,463
1816,1707704.01,482
1817,2166722.68,609
1818,5481533.8,316
1819,7987096.63,745
1820,4876552.68,469
1821,7369207.47,579
1822,4510383.66,639
1823,6401801.53,818
1824,6569483.71,310
1825,2552538.68,823
1826,3900755.62,432
1827,5888575.53,447
1828,1809015.58,378
1829,3903089.35,645
1830,5150556.16,548
1831,8472816.35,841
1832,4716641.65,323
1833,7175608.65,770
1834,4410884.45,500
1835,7034013.2,430
1836,5586986.57,655
1837,7683487.18,449
1838,4258786.38,825
1839,5650991.82,603
1840,5836134.5,840
1841,4305157.18,349
1842,2339046.71,763
1843,1973627.73,539
1844,1420035.16,781
1845,7589446.7,754
1846,3002619.37,582
1847,2822848.59,634
1848,6599454.88,651
1849,3604116.01,626
1850,4943521.79,635
1851,2470079.67,380
1852,8210169.19,386
1853,7431386.08,557
1854,7519285.29,484
1855,4228770.99,422
1856,6789000.74,395
1857,2335908.32,814
1858,1362056.82,742
1859,1443805.11,813
1860,5523532.51,670
1861,4578843.32,604
1862,5029710.51,656
1863,1353734.61,447
1864,4343343.66,584
1865,6470090.76,561
1866,4487394.65,790
1867,6571978.29,330
1868,2977736.54,567
1869,7154622.43,311
1870,5536704.93,490
1871,2817494.32,699
1872,3004387.43,836
1873,5821819.34,390
1874,7275565.07,800
1875,4292520.03,600
1876,3159763.09,410
1877,7542483.57,379
1878,6118731.7,732
1879,4526215.51,716
1880,4812881.41,513
1881,2770646.57,746
1882,5812978.94,317
1883,3882946.08,353
1884,8468645.27,539
1885,4757321.31,717
1886,4798376.36,785
1887,5374132.87,743
1888,7900643.22,422
1889,7065890.32,719
1890,4548136.5,515
1891,6474634.72,719
1892,5520895.59,527
1893,4845042.75,536
1894,2684673.56,629
1895,4640341.1,768
1896,3069893.83,786
1897,7886863.48,848
1898,3714929.06,714
1899,8156300.9,518
1900,5137998.09,680
1901,5847119.53,386
1902,5209171.2,760
1903,2231540.44,710
1904,4005912.78,824
1905,2013852.01,746
1906,5785269.12,599
1907,4517494.21,707
1908,6901491.8,674
1909,2887387.46,532
1910,2484875.62,348
1911,4225592.06,485
1912,7971414.76,504
1913,6415037.07,377
1914,4316250.1,780
1915,5024359.62,685
1916,1906333.68,493
1917,8388946.45,402
1918,6098132.59,675
1919,3354909.29,586
1920,5517820.44,781
1921,2088273.04,549
1922,8254024.02,500
1923,2558451.91,835
1924,5965818.29,760
1925,3067272.13,599
1926,6466441.96,777
1927,6893113.84,382
1928,6148622.05,757
1929,5724396.11,597
1930,7725777.48,663
1931,1866112.32,339
1932,3682586.31,639
1933,3087669.85,815
1934,8413700.53,407
1935,4103606.41,615
1936,6574811.43,413
1937,6230021.18,466
1938,2826984.91,560
1939,3020783.3,523
1940,3325248.86,561
1941,4260116.4,550
1942,2987140.47,825
1943,1441490.68,425
1944,7631630.01,505
1945,8252390.79,439
1946,3759306.79,361
1947,3737249.53,582
1948,1351061.05,353
1949,6197804.96,645
1950,7243167.25,823
1951,2355579.76,435
1952,2449597.72,629
1953,6988599.4,443
1954,5737293.39,735
1955,1622996.01,581
1956,5782338.33,435
1957,3524207.6,788
1958,3954821.12,700
1959,6842066.21,748
1960,7138733.39,569
1961,4182567.71,316
1962,8119501.14,568
1963,4226531.57,781
1964,6857219.45,518
1965,4783916.3,618
1966,7762232.75,537
1967,7835880.95,844
1968,1929401.02,584
1969,8042751.99,336
1970,7243850.86,402
1971,6997437.14,729
1972,2746561.65,538
1973,7096858.3,424
1974,7420955.69,487
1975,3381882.41,555
1976,8156272.56,829
1977,1658993.05,691
1978,2379346.62,767
1979,5170584.19,552
1980,5445705.79,475
1981,5945080.6,765
1982,1422177.73,588
1983,8214640.78,349
1984,1621034.27,303
1985,2330046.06,799
1986,1400904.53,522
1987,5381380.72,561
1988,8012321.56,834
1989,6094819.6,675
1990,7223133.77,360
1991,1395624.66,655
1992,5202510.15,323
1993,4608853.44,592
1994,4892569.2,655
1995,1819934.93,328
1996,6227934.6,656
1997,4923186.99,664
1998,6809071.72,708
1999,4794092.57,565
2000,2375547.78,590
2001,5967450.07,452
2002,2541181.81,518
2003,7581240.86,472
2004,5714436.92,311
2005,2431867.96,815
2006,8228834.01,661
2007,5032231.34,776
2008,1824868.85,381
2009,5813196.91,639
2010,3123032.13,740
2011,7086592.85,525
2012,7188318.93,670
2013,8348420.96,327
2014,4913460.62,315
2015,4575689.53,576
2016,6725024.36,632
2017,2253788.73,782
2018,5237791.7,587
2019,5232982.72,413
2020,1944206.48,337
2021,4309485.42,753
2022,7443650.55,465
2023,7464306.08,504
2024,2014511.19,544
2025,1953190.36,632
2026,3191407.43,695
2027,7598315.65,806
2028,2228098.61,420
2029,6483976.98,558
2030,2028392.46,709
2031,5786592.55,609
2032,3863684.55,367
2033,6980180.53,413
2034,2982571.23,519
2035,5902253.17,519
2036,2996914.25,772
2037,6438354.04,685
2038,7590481.85,597
2039,2212972.95,552
2040,7539488.96,704
2041,5573741.83,791
2042,2215195.53,656
2043,4378301.36,727
2044,2458194.11,514
2045,6342504.8,679
2046,6763850.57,513
2047,2061734.95,397
2048,4944206.94,827
2049,7165300.4,827
2050,8040373.9,834
2051,4997328.64,848
2052,8142010.41,627
2053,5156960.59,464
2054,4138171.56,415
2055,7407062.53,449
2056,4849475.52,817
2057,4697698.08,331
2058,4830249.92,592
2059,7396852.01,476
2060,7289979.1,360
2061,4205343.95,715
2062,3699758.99,682
2063,4841881.77,306
2064,5423962.07,384
2065,3016027.92,697
2066,7016476.61,692
2067,4802675.91,346
2068,3705127.95,640
2069,2069111.15,797
2070,3019685.15,777
2071,8134824.44,725
2072,3496717.75,725
2073,2515786.88,814
2074,4616844.1,428
2075,3511031.75,548
2076,1553146.6,430
2077,3626645.56,622
2078,5217582.09,842
2079,5272329.08,365
2080,3867224.23,400
2081,4520579.85,330
2082,8251729.01,490
2083,4016909.04,714
2084,3159233.06,799
2085,3052962.72,345
2086,4595905.21,388
2087,6768545.07,674
2088,2783114.93,545
2089,6406932.12,556
2090,1452278.73,651
2091,4316317.44,404
2092,6886228.47,636
2093,3738877.28,825
2094,5358907.13,600
2095,2775850.48,376
2096,6642366.82,810
2097,1676409.54,529
2098,7438307.04,331
2099,2727013.98,357
2100,7595665.83,403
2101,3838210.54,611
2102,6503321.74,366
2103,3598422.14,673
2104,7822564.03,534
2105,2211787.3,411
2106,2585342.48,688
2107,4849816.9,707
2108,1889956.76,353
2109,2711057.33,538
2110,8095117.95,594
2111,8330725.56,411
2112,4009067.17,387
2113,7947659.35,775
2114,5222737.66,603
2115,3242145.75,604
2116,6357270.79,589
2117,6044093.01,507
2118,8421702.3,669
2119,3208340.47,519
2120,6138828.42,530
2121,1674571.04,648
2122,2118251.48,554
2123,1328212.3,751
2124,8496116.9,441
2125,7076370.62,368
2126,6964405.71,388
2127,4970027.74,435
2128,3460483.0,822
2129,2389102.85,741
2130,3349658.12,337
2131,4006992.8,507
2132,6745432.7,509
2133,5185564.88,812
2134,1857882.11,659
2135,1429808.86,300
2136,2036791.69,680
2137,4255590.74,836
2138,8018989.0,693
2139,5889297.86,349
2140,7073146.48,695
2141,4657897.08,331
2142,3903995.8,844
2143,2080482.68,533
2144,7606717.76,325
2145,6938752.21,733
2146,2510450.3,360
2147,4988276.06,740
2148,4809098.62,429
2149,5800659.18,653
2150,8112545.64,497
2151,5474354.38,670
2152,5189564.32,446
2153,1662325.12,797
2154,1752933.83,347
2155,2648896.9,471
2156,1533789.56,614
2157,6652140.85,675
2158,6507978.19,832
2159,2279604.89,719
2160,7319768.09,695
2161,2414459.45,821
2162,3468464.23,486
2163,3092633.67,332
2164,3980611.11,368
2165,3133579.11,490
2166,4820446.67,400
2167,4233336.75,784
2168,8403300.33,584
2169,1702669.72,689
2170,2323705.91,459
2171,1680346.44,346
2172,5806056.6,458
2173,1692466.8,745
2174,7322366.11,822
2175,4985958.14,454
2176,5094454.9,638
2177,5343480.46,664
2178,2529858.69,447
2179,2723370.18,443
2180,3595484.72,402
2181,5573174.19,392
2182,2812847.99,585
2183,2137588.44,723
2184,8284841.58,418
2185,1458269.07,328
2186,7079421.32,810
2187,6973853.08,329
2188,3439941.62,665
2189,2276511.64,437
2190,2348526.26,774
2191,6321507.64,691
2192,5928207.46,734
2193,6935768.85,533
2194,8049864.44,354
2195,6281877.02,591
2196,2422131.06,611
2197,3052786.84,847
2198,7363794.86,388
2199,2807003.75,511
2200,1822160.68,617
2201,6363616.39,764
2202,4198189.76,386
2203,7924288.38,708
2204,5981836.51,539
2205,1951016.64,356
2206,8124567.28,412
2207,3161612.3,369
2208,3727929.93,483
2209,4196274.98,575
2210,1668814.93,532
2211,4874911.04,353
2212,2187893.14,556
2213,4186986.35,389
2214,3825110.47,734
2215,6864448.6,707
2216,7082827.68,568
2217,2404572.75,665
2218,3939168.55,650
2219,3988142.76,598
2220,2390155.2,458
2221,7048865.24,786
2222,6392043.96,825
2223,2670748.86,654
2224,3940397.74,700
2225,2061796.18,704
2226,5823087.5,395
2227,2173877.86,691
2228,8398726.01,651
2229,6920910.94,587
2230,4109717.56,822
2231,5465660.31,461
2232,7861661.08,481
2233,5289514.82,848
2234,2556389.1,381
2235,4026664.16,823
2236,7370643.03,303
2237,5938333.72,794
2238,5985215.57,350
2239,7541114.7,560
2240,7736606.01,433
2241,7922506.52,661
2242,1982914.19,516
2243,5217707.21,367
2244,6631668.55,442
2245,6749873.28,645
2246,5668356.65,493
2247,2500868.81,545
2248,7041427.99,613
2249,6484801.6,683
2250,1920177.56,576
2251,4639430.74,371
2252,2552637.28,428
2253,3729834.73,657
2254,1430183.86,824
2255,4182375.05,519
2256,5259113.83,305
2257,5760994.67,527
2258,6077130.48,316
2259,7321297.45,311
2260,2851332.93,798
2261,2167469.12,801
2262,7431067.64,369
2263,2427612.27,407
2264,8318272.59,500
2265,7366275.25,351
2266,4906311.56,848
2267,8366234.26,558
2268,2001112.45,781
