identificador_cliente,sector_economico,fecha_afiliacion
1094,Minería/Servicios,2020-01-04
1095,Minería/Servicios,2020-01-04
1096,Minería/Servicios,2020-01-04
1097,Minería/Servicios,2020-01-05
1098,Independientes,2020-01-05
1099,Minería/Servicios,2020-01-05
1100,Ganadería/Agro,2020-01-05
1101,Comercio Minorista,2020-01-05
1102,Minería/Servicios,2020-01-05
1103,Minería/Servicios,2020-01-05
1104,Independientes,2020-01-05
1105,Minería/Servicios,2020-01-05
1106,Minería/Servicios,2020-01-05
1107,Minería/Servicios,2020-01-05
1108,Independientes,2020-01-05
1109,Minería/Servicios,2020-01-05
1110,Comercio Minorista,2020-01-05
1111,Independientes,2020-01-05
1112,Comercio Minorista,2020-01-05
1113,Independientes,2020-01-05
1114,Minería/Servicios,2020-01-05
1115,Comercio Minorista,2020-01-05
1116,Independientes,2020-01-05
1117,Ganadería/Agro,2020-01-05
1118,Minería/Servicios,2020-01-05
1119,Independientes,2020-01-05
1120,Ganadería/Agro,2020-01-05
1121,Independientes,2020-01-06
1122,Ganadería/Agro,2020-01-06
1123,Minería/Servicios,2020-01-06
1124,Comercio Minorista,2020-01-06
1125,Ganadería/Agro,2020-01-06
1126,Independientes,2020-01-06
1127,Minería/Servicios,2020-01-06
1128,Ganadería/Agro,2020-01-06
1129,Independientes,2020-01-06
1130,Independientes,2020-01-06
1131,Independientes,2020-01-06
1132,Ganadería/Agro,2020-01-06
1133,Ganadería/Agro,2020-01-06
1134,Ganadería/Agro,2020-01-06
1135,Comercio Minorista,2020-01-06
1136,Ganadería/Agro,2020-01-06
1137,Ganadería/Agro,2020-01-06
1138,Ganadería/Agro,2020-01-06
1139,Comercio Minorista,2020-01-06
1140,Ganadería/Agro,2020-01-06
1141,Independientes,2020-01-06
1142,Ganadería/Agro,2020-01-06
1143,Independientes,2020-01-06
1144,Independientes,2020-01-06
1145,Independientes,2020-01-07
1146,Comercio Minorista,2020-01-07
1147,Comercio Minorista,2020-01-07
1148,Comercio Minorista,2020-01-07
1149,Ganadería/Agro,2020-01-07
1150,Independientes,2020-01-07
1151,Comercio Minorista,2020-01-07
1152,Comercio Minorista,2020-01-07
1153,Ganadería/Agro,2020-01-07
1154,Comercio Minorista,2020-01-07
1155,Ganadería/Agro,2020-01-07
1156,Minería/Servicios,2020-01-07
1157,Comercio Minorista,2020-01-07
1158,Minería/Servicios,2020-01-07
1159,Ganadería/Agro,2020-01-07
1160,Independientes,2020-01-07
1161,Comercio Minorista,2020-01-07
1162,Ganadería/Agro,2020-01-07
1163,Independientes,2020-01-07
1164,Independientes,2020-01-07
1165,Minería/Servicios,2020-01-07
1166,Ganadería/Agro,2020-01-07
1167,Independientes,2020-01-07
1168,Comercio Minorista,2020-01-07
1169,Comercio Minorista,2020-01-08
1170,Minería/Servicios,2020-01-08
1171,Independientes,2020-01-08
1172,Ganadería/Agro,2020-01-08
1173,Comercio Minorista,2020-01-08
1174,Independientes,2020-01-08
1175,Independientes,2020-01-08
1176,Minería/Servicios,2020-01-08
1177,Comercio Minorista,2020-01-08
1178,Comercio Minorista,2020-01-08
1179,Ganadería/Agro,2020-01-08
1180,Comercio Minorista,2020-01-08
1181,Ganadería/Agro,2020-01-08
1182,Comercio Minorista,2020-01-08
1183,Minería/Servicios,2020-01-08
1184,Comercio Minorista,2020-01-08
1185,Ganadería/Agro,2020-01-08
1186,Ganadería/Agro,2020-01-08
1187,Minería/Servicios,2020-01-08
1188,Comercio Minorista,2020-01-08
1189,Comercio Minorista,2020-01-08
1190,Minería/Servicios,2020-01-08
1191,Comercio Minorista,2020-01-08
1192,Comercio Minorista,2020-01-08
1193,Ganadería/Agro,2020-01-09
1194,Comercio Minorista,2020-01-09
1195,Comercio Minorista,2020-01-09
1196,Minería/Servicios,2020-01-09
1197,Minería/Servicios,2020-01-09
1198,Independientes,2020-01-09
1199,Ganadería/Agro,2020-01-09
1200,Comercio Minorista,2020-01-09
1201,Comercio Minorista,2020-01-09
1202,Independientes,2020-01-09
1203,Comercio Minorista,2020-01-09
1204,Ganadería/Agro,2020-01-09
1205,Independientes,2020-01-09
1206,Ganadería/Agro,2020-01-09
1207,Independientes,2020-01-09
1208,Independientes,2020-01-09
1209,Minería/Servicios,2020-01-09
1210,Ganadería/Agro,2020-01-09
1211,Comercio Minorista,2020-01-09
1212,Comercio Minorista,2020-01-09
1213,Ganadería/Agro,2020-01-09
1214,Comercio Minorista,2020-01-09
1215,Comercio Minorista,2020-01-09
1216,Ganadería/Agro,2020-01-09
1217,Independientes,2020-01-10
1218,Ganadería/Agro,2020-01-10
1219,Independientes,2020-01-10
1220,Comercio Minorista,2020-01-10
1221,Comercio Minorista,2020-01-10
1222,Comercio Minorista,2020-01-10
1223,Minería/Servicios,2020-01-10
1224,Independientes,2020-01-10
1225,Minería/Servicios,2020-01-10
1226,Minería/Servicios,2020-01-10
1227,Ganadería/Agro,2020-01-10
1228,Minería/Servicios,2020-01-10
1229,Ganadería/Agro,2020-01-10
1230,Ganadería/Agro,2020-01-10
1231,Minería/Servicios,2020-01-10
1232,Independientes,2020-01-10
1233,Independientes,2020-01-10
1234,Independientes,2020-01-10
1235,Independientes,2020-01-10
1236,Independientes,2020-01-10
1237,Minería/Servicios,2020-01-10
1238,Minería/Servicios,2020-01-10
1239,Comercio Minorista,2020-01-10
1240,Independientes,2020-01-10
1241,Minería/Servicios,2020-01-11
1242,Comercio Minorista,2020-01-11
1243,Independientes,2020-01-11
1244,Ganadería/Agro,2020-01-11
1245,Comercio Minorista,2020-01-11
1246,Minería/Servicios,2020-01-11
1247,Ganadería/Agro,2020-01-11
1248,Ganadería/Agro,2020-01-11
1249,Ganadería/Agro,2020-01-11
1250,Comercio Minorista,2020-01-11
1251,Minería/Servicios,2020-01-11
1252,Ganadería/Agro,2020-01-11
1253,Independientes,2020-01-11
1254,Ganadería/Agro,2020-01-11
1255,Ganadería/Agro,2020-01-11
1256,Comercio Minorista,2020-01-11
1257,Comercio Minorista,2020-01-11
1258,Minería/Servicios,2020-01-11
1259,Independientes,2020-01-11
1260,Comercio Minorista,2020-01-11
1261,Ganadería/Agro,2020-01-11
1262,Minería/Servicios,2020-01-11
1263,Ganadería/Agro,2020-01-11
1264,Ganadería/Agro,2020-01-11
1265,Comercio Minorista,2020-01-12
1266,Minería/Servicios,2020-01-12
1267,Independientes,2020-01-12
1268,Independientes,2020-01-12
1269,Comercio Minorista,2020-01-12
1270,Comercio Minorista,2020-01-12
1271,Minería/Servicios,2020-01-12
1272,Independientes,2020-01-12
1273,Independientes,2020-01-12
1274,Independientes,2020-01-12
1275,Ganadería/Agro,2020-01-12
1276,Independientes,2020-01-12
1277,Ganadería/Agro,2020-01-12
1278,Minería/Servicios,2020-01-12
1279,Ganadería/Agro,2020-01-12
1280,Minería/Servicios,2020-01-12
1281,Independientes,2020-01-12
1282,Independientes,2020-01-12
1283,Minería/Servicios,2020-01-12
1284,Comercio Minorista,2020-01-12
1285,Minería/Servicios,2020-01-12
1286,Comercio Minorista,2020-01-12
1287,Ganadería/Agro,2020-01-12
1288,Ganadería/Agro,2020-01-12
1289,Ganadería/Agro,2020-01-13
1290,Independientes,2020-01-13
1291,Ganadería/Agro,2020-01-13
1292,Comercio Minorista,2020-01-13
1293,Ganadería/Agro,2020-01-13
1294,Minería/Servicios,2020-01-13
1295,Minería/Servicios,2020-01-13
1296,Independientes,2020-01-13
1297,Minería/Servicios,2020-01-13
1298,Comercio Minorista,2020-01-13
1299,Ganadería/Agro,2020-01-13
1300,Independientes,2020-01-13
1301,Ganadería/Agro,2020-01-13
1302,Ganadería/Agro,2020-01-13
1303,Comercio Minorista,2020-01-13
1304,Minería/Servicios,2020-01-13
1305,Minería/Servicios,2020-01-13
1306,Ganadería/Agro,2020-01-13
1307,Independientes,2020-01-13
1308,Minería/Servicios,2020-01-13
1309,Independientes,2020-01-13
1310,Minería/Servicios,2020-01-13
1311,Independientes,2020-01-13
1312,Comercio Minorista,2020-01-13
1313,Independientes,2020-01-14
1314,Comercio Minorista,2020-01-14
1315,Comercio Minorista,2020-01-14
1316,Independientes,2020-01-14
1317,Comercio Minorista,2020-01-14
1318,Ganadería/Agro,2020-01-14
1319,Comercio Minorista,2020-01-14
1320,Minería/Servicios,2020-01-14
1321,Independientes,2020-01-14
1322,Ganadería/Agro,2020-01-14
1323,Independientes,2020-01-14
1324,Minería/Servicios,2020-01-14
1325,Minería/Servicios,2020-01-14
1326,Minería/Servicios,2020-01-14
1327,Comercio Minorista,2020-01-14
1328,Comercio Minorista,2020-01-14
1329,Independientes,2020-01-14
1330,Independientes,2020-01-14
1331,Ganadería/Agro,2020-01-14
1332,Ganadería/Agro,2020-01-14
1333,Independientes,2020-01-14
1334,Comercio Minorista,2020-01-14
1335,Minería/Servicios,2020-01-14
1336,Independientes,2020-01-14
1337,Ganadería/Agro,2020-01-15
1338,Comercio Minorista,2020-01-15
1339,Independientes,2020-01-15
1340,Independientes,2020-01-15
1341,Comercio Minorista,2020-01-15
1342,Independientes,2020-01-15
1343,Comercio Minorista,2020-01-15
1344,Minería/Servicios,2020-01-15
1345,Comercio Minorista,2020-01-15
1346,Comercio Minorista,2020-01-15
1347,Comercio Minorista,2020-01-15
1348,Independientes,2020-01-15
1349,Independientes,2020-01-15
1350,Comercio Minorista,2020-01-15
1351,Independientes,2020-01-15
1352,Ganadería/Agro,2020-01-15
1353,Ganadería/Agro,2020-01-15
1354,Independientes,2020-01-15
1355,Independientes,2020-01-15
1356,Comercio Minorista,2020-01-15
1357,Minería/Servicios,2020-01-15
1358,Independientes,2020-01-15
1359,Ganadería/Agro,2020-01-15
1360,Comercio Minorista,2020-01-15
1361,Independientes,2020-01-16
1362,Ganadería/Agro,2020-01-16
1363,Ganadería/Agro,2020-01-16
1364,Minería/Servicios,2020-01-16
1365,Comercio Minorista,2020-01-16
1366,Comercio Minorista,2020-01-16
1367,Minería/Servicios,2020-01-16
1368,Minería/Servicios,2020-01-16
1369,Comercio Minorista,2020-01-16
1370,Comercio Minorista,2020-01-16
1371,Independientes,2020-01-16
1372,Independientes,2020-01-16
1373,Minería/Servicios,2020-01-16
1374,Independientes,2020-01-16
1375,Ganadería/Agro,2020-01-16
1376,Independientes,2020-01-16
1377,Independientes,2020-01-16
1378,Ganadería/Agro,2020-01-16
1379,Minería/Servicios,2020-01-16
1380,Ganadería/Agro,2020-01-16
1381,Independientes,2020-01-16
1382,Minería/Servicios,2020-01-16
1383,Independientes,2020-01-16
1384,Ganadería/Agro,2020-01-16
1385,Ganadería/Agro,2020-01-17
1386,Independientes,2020-01-17
1387,Comercio Minorista,2020-01-17
1388,Comercio Minorista,2020-01-17
1389,Ganadería/Agro,2020-01-17
1390,Ganadería/Agro,2020-01-17
1391,Comercio Minorista,2020-01-17
1392,Comercio Minorista,2020-01-17
1393,Independientes,2020-01-17
1394,Independientes,2020-01-17
1395,Comercio Minorista,2020-01-17
1396,Independientes,2020-01-17
1397,Independientes,2020-01-17
1398,Minería/Servicios,2020-01-17
1399,Independientes,2020-01-17
1400,Ganadería/Agro,2020-01-17
1401,Independientes,2020-01-17
1402,Independientes,2020-01-17
1403,Comercio Minorista,2020-01-17
1404,Ganadería/Agro,2020-01-17
1405,Independientes,2020-01-17
1406,Independientes,2020-01-17
1407,Minería/Servicios,2020-01-17
1408,Independientes,2020-01-17
1409,Independientes,2020-01-18
1410,Minería/Servicios,2020-01-18
1411,Comercio Minorista,2020-01-18
1412,Independientes,2020-01-18
1413,Minería/Servicios,2020-01-18
1414,Ganadería/Agro,2020-01-18
1415,Comercio Minorista,2020-01-18
1416,Ganadería/Agro,2020-01-18
1417,Ganadería/Agro,2020-01-18
1418,Minería/Servicios,2020-01-18
1419,Independientes,2020-01-18
1420,Minería/Servicios,2020-01-18
1421,Minería/Servicios,2020-01-18
1422,Minería/Servicios,2020-01-18
1423,Minería/Servicios,2020-01-18
1424,Comercio Minorista,2020-01-18
1425,Independientes,2020-01-18
1426,Ganadería/Agro,2020-01-18
1427,Ganadería/Agro,2020-01-18
1428,Independientes,2020-01-18
1429,Ganadería/Agro,2020-01-18
1430,Independientes,2020-01-18
1431,Ganadería/Agro,2020-01-18
1432,Minería/Servicios,2020-01-18
1433,Ganadería/Agro,2020-01-19
1434,Independientes,2020-01-19
1435,Independientes,2020-01-19
1436,Independientes,2020-01-19
1437,Independientes,2020-01-19
1438,Independientes,2020-01-19
1439,Comercio Minorista,2020-01-19
1440,Comercio Minorista,2020-01-19
1441,Ganadería/Agro,2020-01-19
1442,Independientes,2020-01-19
1443,Ganadería/Agro,2020-01-19
1444,Independientes,2020-01-19
1445,Independientes,2020-01-19
1446,Comercio Minorista,2020-01-19
1447,Comercio Minorista,2020-01-19
1448,Minería/Servicios,2020-01-19
1449,Comercio Minorista,2020-01-19
1450,Minería/Servicios,2020-01-19
1451,Minería/Servicios,2020-01-19
1452,Minería/Servicios,2020-01-19
1453,Minería/Servicios,2020-01-19
1454,Minería/Servicios,2020-01-19
1455,Ganadería/Agro,2020-01-19
1456,Comercio Minorista,2020-01-19
1457,Minería/Servicios,2020-01-20
1458,Independientes,2020-01-20
1459,Comercio Minorista,2020-01-20
1460,Comercio Minorista,2020-01-20
1461,Minería/Servicios,2020-01-20
1462,Ganadería/Agro,2020-01-20
1463,Minería/Servicios,2020-01-20
1464,Ganadería/Agro,2020-01-20
1465,Independientes,2020-01-20
1466,Comercio Minorista,2020-01-20
1467,Independientes,2020-01-20
1468,Ganadería/Agro,2020-01-20
1469,Ganadería/Agro,2020-01-20
1470,Independientes,2020-01-20
1471,Ganadería/Agro,2020-01-20
1472,Independientes,2020-01-20
1473,Comercio Minorista,2020-01-20
1474,Independientes,2020-01-20
1475,Comercio Minorista,2020-01-20
1476,Independientes,2020-01-20
1477,Ganadería/Agro,2020-01-20
1478,Independientes,2020-01-20
1479,Ganadería/Agro,2020-01-20
1480,Independientes,2020-01-20
1481,Independientes,2020-01-21
1482,Minería/Servicios,2020-01-21
1483,Ganadería/Agro,2020-01-21
1484,Minería/Servicios,2020-01-21
1485,Ganadería/Agro,2020-01-21
1486,Minería/Servicios,2020-01-21
1487,Comercio Minorista,2020-01-21
1488,Independientes,2020-01-21
1489,Ganadería/Agro,2020-01-21
1490,Ganadería/Agro,2020-01-21
1491,Independientes,2020-01-21
1492,Ganadería/Agro,2020-01-21
1493,Ganadería/Agro,2020-01-21
1494,Minería/Servicios,2020-01-21
1495,Ganadería/Agro,2020-01-21
1496,Comercio Minorista,2020-01-21
1497,Comercio Minorista,2020-01-21
1498,Independientes,2020-01-21
1499,Ganadería/Agro,2020-01-21
1500,Independientes,2020-01-21
1501,Comercio Minorista,2020-01-21
1502,Ganadería/Agro,2020-01-21
1503,Ganadería/Agro,2020-01-21
1504,Independientes,2020-01-21
1505,Comercio Minorista,2020-01-22
1506,Ganadería/Agro,2020-01-22
1507,Independientes,2020-01-22
1508,Comercio Minorista,2020-01-22
1509,Independientes,2020-01-22
1510,Minería/Servicios,2020-01-22
1511,Ganadería/Agro,2020-01-22
1512,Minería/Servicios,2020-01-22
1513,Comercio Minorista,2020-01-22
1514,Minería/Servicios,2020-01-22
1515,Minería/Servicios,2020-01-22
1516,Comercio Minorista,2020-01-22
1517,Independientes,2020-01-22
1518,Minería/Servicios,2020-01-22
1519,Independientes,2020-01-22
1520,Minería/Servicios,2020-01-22
1521,Independientes,2020-01-22
1522,Comercio Minorista,2020-01-22
1523,Minería/Servicios,2020-01-22
1524,Comercio Minorista,2020-01-22
1525,Minería/Servicios,2020-01-22
1526,Comercio Minorista,2020-01-22
1527,Comercio Minorista,2020-01-22
1528,Minería/Servicios,2020-01-22
1529,Minería/Servicios,2020-01-23
1530,Minería/Servicios,2020-01-23
1531,Ganadería/Agro,2020-01-23
1532,Independientes,2020-01-23
1533,Ganadería/Agro,2020-01-23
1534,Ganadería/Agro,2020-01-23
1535,Comercio Minorista,2020-01-23
1536,Minería/Servicios,2020-01-23
1537,Independientes,2020-01-23
1538,Comercio Minorista,2020-01-23
1539,Ganadería/Agro,2020-01-23
1540,Minería/Servicios,2020-01-23
1541,Comercio Minorista,2020-01-23
1542,Minería/Servicios,2020-01-23
1543,Comercio Minorista,2020-01-23
1544,Minería/Servicios,2020-01-23
1545,Ganadería/Agro,2020-01-23
1546,Independientes,2020-01-23
1547,Ganadería/Agro,2020-01-23
1548,Independientes,2020-01-23
1549,Minería/Servicios,2020-01-23
1550,Comercio Minorista,2020-01-23
1551,Ganadería/Agro,2020-01-23
1552,Independientes,2020-01-23
1553,Ganadería/Agro,2020-01-24
1554,Independientes,2020-01-24
1555,Ganadería/Agro,2020-01-24
1556,Independientes,2020-01-24
1557,Independientes,2020-01-24
1558,Minería/Servicios,2020-01-24
1559,Independientes,2020-01-24
1560,Minería/Servicios,2020-01-24
1561,Independientes,2020-01-24
1562,Comercio Minorista,2020-01-24
1563,Comercio Minorista,2020-01-24
1564,Comercio Minorista,2020-01-24
1565,Independientes,2020-01-24
1566,Minería/Servicios,2020-01-24
1567,Minería/Servicios,2020-01-24
1568,Independientes,2020-01-24
1569,Comercio Minorista,2020-01-24
1570,Comercio Minorista,2020-01-24
1571,Minería/Servicios,2020-01-24
1572,Comercio Minorista,2020-01-24
1573,Ganadería/Agro,2020-01-24
1574,Minería/Servicios,2020-01-24
1575,Comercio Minorista,2020-01-24
1576,Minería/Servicios,2020-01-24
1577,Ganadería/Agro,2020-01-25
1578,Minería/Servicios,2020-01-25
1579,Minería/Servicios,2020-01-25
1580,Minería/Servicios,2020-01-25
1581,Minería/Servicios,2020-01-25
1582,Ganadería/Agro,2020-01-25
1583,Independientes,2020-01-25
1584,Minería/Servicios,2020-01-25
1585,Minería/Servicios,2020-01-25
1586,Comercio Minorista,2020-01-25
1587,Minería/Servicios,2020-01-25
1588,Comercio Minorista,2020-01-25
1589,Independientes,2020-01-25
1590,Ganadería/Agro,2020-01-25
1591,Ganadería/Agro,2020-01-25
1592,Independientes,2020-01-25
1593,Ganadería/Agro,2020-01-25
1594,Independientes,2020-01-25
1595,Independientes,2020-01-25
1596,Independientes,2020-01-25
1597,Ganadería/Agro,2020-01-25
1598,Comercio Minorista,2020-01-25
1599,Independientes,2020-01-25
1600,Minería/Servicios,2020-01-25
1601,Ganadería/Agro,2020-01-26
1602,Independientes,2020-01-26
1603,Independientes,2020-01-26
1604,Minería/Servicios,2020-01-26
1605,Comercio Minorista,2020-01-26
1606,Comercio Minorista,2020-01-26
1607,Comercio Minorista,2020-01-26
1608,Independientes,2020-01-26
1609,Independientes,2020-01-26
1610,Independientes,2020-01-26
1611,Ganadería/Agro,2020-01-26
1612,Minería/Servicios,2020-01-26
1613,Independientes,2020-01-26
1614,Minería/Servicios,2020-01-26
1615,Minería/Servicios,2020-01-26
1616,Comercio Minorista,2020-01-26
1617,Ganadería/Agro,2020-01-26
1618,Independientes,2020-01-26
1619,Comercio Minorista,2020-01-26
1620,Comercio Minorista,2020-01-26
1621,Independientes,2020-01-26
1622,Minería/Servicios,2020-01-26
1623,Comercio Minorista,2020-01-26
1624,Minería/Servicios,2020-01-26
1625,Ganadería/Agro,2020-01-27
1626,Minería/Servicios,2020-01-27
1627,Ganadería/Agro,2020-01-27
1628,Minería/Servicios,2020-01-27
1629,Comercio Minorista,2020-01-27
1630,Comercio Minorista,2020-01-27
1631,Ganadería/Agro,2020-01-27
1632,Independientes,2020-01-27
1633,Ganadería/Agro,2020-01-27
1634,Ganadería/Agro,2020-01-27
1635,Minería/Servicios,2020-01-27
1636,Minería/Servicios,2020-01-27
1637,Ganadería/Agro,2020-01-27
1638,Comercio Minorista,2020-01-27
1639,Minería/Servicios,2020-01-27
1640,Independientes,2020-01-27
1641,Minería/Servicios,2020-01-27
1642,Minería/Servicios,2020-01-27
1643,Independientes,2020-01-27
1644,Ganadería/Agro,2020-01-27
1645,Independientes,2020-01-27
1646,Ganadería/Agro,2020-01-27
1647,Ganadería/Agro,2020-01-27
1648,Ganadería/Agro,2020-01-27
1649,Independientes,2020-01-28
1650,Ganadería/Agro,2020-01-28
1651,Comercio Minorista,2020-01-28
1652,Independientes,2020-01-28
1653,Comercio Minorista,2020-01-28
1654,Ganadería/Agro,2020-01-28
1655,Minería/Servicios,2020-01-28
1656,Ganadería/Agro,2020-01-28
1657,Comercio Minorista,2020-01-28
1658,Comercio Minorista,2020-01-28
1659,Independientes,2020-01-28
1660,Minería/Servicios,2020-01-28
1661,Independientes,2020-01-28
1662,Comercio Minorista,2020-01-28
1663,Ganadería/Agro,2020-01-28
1664,Minería/Servicios,2020-01-28
1665,Ganadería/Agro,2020-01-28
1666,Ganadería/Agro,2020-01-28
1667,Minería/Servicios,2020-01-28
1668,Independientes,2020-01-28
1669,Ganadería/Agro,2020-01-28
1670,Comercio Minorista,2020-01-28
1671,Ganadería/Agro,2020-01-28
1672,Minería/Servicios,2020-01-28
1673,Minería/Servicios,2020-01-29
1674,Minería/Servicios,2020-01-29
1675,Independientes,2020-01-29
1676,Ganadería/Agro,2020-01-29
1677,Independientes,2020-01-29
1678,Independientes,2020-01-29
1679,Minería/Servicios,2020-01-29
1680,Minería/Servicios,2020-01-29
1681,Independientes,2020-01-29
1682,Ganadería/Agro,2020-01-29
1683,Comercio Minorista,2020-01-29
1684,Independientes,2020-01-29
1685,Ganadería/Agro,2020-01-29
1686,Minería/Servicios,2020-01-29
1687,Minería/Servicios,2020-01-29
1688,Ganadería/Agro,2020-01-29
1689,Comercio Minorista,2020-01-29
1690,Minería/Servicios,2020-01-29
1691,Minería/Servicios,2020-01-29
1692,Minería/Servicios,2020-01-29
1693,Ganadería/Agro,2020-01-29
1694,Independientes,2020-01-29
1695,Minería/Servicios,2020-01-29
1696,Independientes,2020-01-29
1697,Comercio Minorista,2020-01-30
1698,Minería/Servicios,2020-01-30
1699,Minería/Servicios,2020-01-30
1700,Comercio Minorista,2020-01-30
1701,Minería/Servicios,2020-01-30
1702,Independientes,2020-01-30
1703,Ganadería/Agro,2020-01-30
1704,Independientes,2020-01-30
1705,Ganadería/Agro,2020-01-30
1706,Ganadería/Agro,2020-01-30
1707,Independientes,2020-01-30
1708,Independientes,2020-01-30
1709,Independientes,2020-01-30
1710,Independientes,2020-01-30
1711,Comercio Minorista,2020-01-30
1712,Minería/Servicios,2020-01-30
1713,Ganadería/Agro,2020-01-30
1714,Independientes,2020-01-30
1715,Independientes,2020-01-30
1716,Independientes,2020-01-30
1717,Comercio Minorista,2020-01-30
1718,Independientes,2020-01-30
1719,Independientes,2020-01-30
1720,Independientes,2020-01-30
1721,Minería/Servicios,2020-01-31
1722,Comercio Minorista,2020-01-31
1723,Independientes,2020-01-31
1724,Ganadería/Agro,2020-01-31
1725,Ganadería/Agro,2020-01-31
1726,Ganadería/Agro,2020-01-31
1727,Comercio Minorista,2020-01-31
1728,Comercio Minorista,2020-01-31
1729,Ganadería/Agro,2020-01-31
1730,Independientes,2020-01-31
1731,Comercio Minorista,2020-01-31
1732,Ganadería/Agro,2020-01-31
1733,Ganadería/Agro,2020-01-31
1734,Independientes,2020-01-31
1735,Minería/Servicios,2020-01-31
1736,Comercio Minorista,2020-01-31
1737,Independientes,2020-01-31
1738,Ganadería/Agro,2020-01-31
1739,Ganadería/Agro,2020-01-31
1740,Independientes,2020-01-31
1741,Comercio Minorista,2020-01-31
1742,Minería/Servicios,2020-01-31
1743,Minería/Servicios,2020-01-31
1744,Ganadería/Agro,2020-01-31
1745,Comercio Minorista,2020-02-01
1746,Minería/Servicios,2020-02-01
1747,Comercio Minorista,2020-02-01
1748,Comercio Minorista,2020-02-01
1749,Ganadería/Agro,2020-02-01
1750,Minería/Servicios,2020-02-01
1751,Independientes,2020-02-01
1752,Ganadería/Agro,2020-02-01
1753,Minería/Servicios,2020-02-01
1754,Minería/Servicios,2020-02-01
1755,Minería/Servicios,2020-02-01
1756,Minería/Servicios,2020-02-01
1757,Minería/Servicios,2020-02-01
1758,Comercio Minorista,2020-02-01
1759,Ganadería/Agro,2020-02-01
1760,Comercio Minorista,2020-02-01
1761,Independientes,2020-02-01
1762,Minería/Servicios,2020-02-01
1763,Ganadería/Agro,2020-02-01
1764,Minería/Servicios,2020-02-01
1765,Ganadería/Agro,2020-02-01
1766,Comercio Minorista,2020-02-01
1767,Ganadería/Agro,2020-02-01
1768,Independientes,2020-02-01
1769,Independientes,2020-02-02
1770,Ganadería/Agro,2020-02-02
